Run,Average FPS,Minimum FPS,Maximum FPS,Median FPS
12/19/2024 10:19:11 PM, 134.27, 3.00, 379.97, 132.96
12/19/2024 10:21:39 PM, 111.09, 3.00, 196.77, 119.29
12/19/2024 10:30:54 PM, 132.39, 3.00, 320.41, 132.60
12/19/2024 10:32:13 PM, 127.17, 3.00, 281.67, 130.03
12/19/2024 10:33:21 PM, 126.56, 3.00, 307.41, 130.09
12/19/2024 10:39:31 PM, 134.43, 3.00, 348.46, 132.84
12/19/2024 10:47:08 PM, 128.82, 3.00, 292.78, 131.40
12/19/2024 10:55:01 PM, 134.09, 3.00, 352.06, 132.81
12/19/2024 10:59:11 PM, 124.85, 3.00, 411.20, 122.48
12/19/2024 11:04:28 PM, 94.08, 3.00, 343.99, 92.37
12/19/2024 11:05:53 PM, 94.21, 3.00, 305.16, 92.62
12/19/2024 11:10:41 PM, 134.41, 3.00, 314.90, 132.80
12/19/2024 11:11:32 PM, 133.84, 3.00, 300.37, 132.97
12/19/2024 11:12:16 PM, 94.17, 3.00, 284.74, 92.56
12/19/2024 11:14:13 PM, 134.06, 3.00, 320.37, 132.94
12/19/2024 11:20:21 PM, 134.42, 3.00, 331.30, 132.79
12/19/2024 11:23:50 PM, 134.08, 3.00, 321.34, 132.93
12/19/2024 11:26:57 PM, 134.06, 3.00, 342.07, 132.71
12/19/2024 11:28:06 PM, 132.66, 3.00, 241.09, 132.36
12/19/2024 11:30:55 PM, 126.22, 3.00, 171.43, 129.53
12/19/2024 11:33:31 PM, 94.34, 3.00, 158.26, 93.96
12/19/2024 11:38:17 PM, 50.20, 3.00, 88.36, 50.18
12/19/2024 11:43:02 PM, 35.51, 3.00, 54.58, 36.34
12/19/2024 11:57:03 PM, 134.13, 3.00, 315.15, 132.86
12/19/2024 11:58:03 PM, 134.17, 3.00, 318.68, 132.91
12/20/2024 12:11:33 AM, 134.82, 3.00, 317.29, 133.14
12/20/2024 12:12:35 AM, 133.76, 3.00, 307.68, 132.91
12/20/2024 12:13:22 AM, 134.26, 3.00, 311.34, 133.00
12/20/2024 12:14:38 AM, 134.14, 3.00, 341.78, 132.97
12/20/2024 12:15:40 AM, 133.96, 3.00, 323.83, 132.86
12/20/2024 12:16:23 AM, 134.33, 3.00, 319.90, 133.01
12/20/2024 12:17:46 AM, 134.36, 3.00, 363.37, 132.88
12/20/2024 12:18:34 AM, 134.32, 3.00, 311.15, 132.76
12/20/2024 12:19:26 AM, 134.26, 3.00, 332.78, 132.86
12/20/2024 12:20:42 AM, 134.52, 3.00, 406.88, 133.04
12/20/2024 12:22:08 AM, 134.64, 3.00, 387.60, 132.91
12/20/2024 12:23:06 AM, 134.24, 3.00, 292.99, 133.00
12/20/2024 12:24:24 AM, 134.18, 3.00, 302.43, 132.92
12/20/2024 12:26:01 AM, 134.12, 3.00, 310.87, 132.97
12/20/2024 12:26:39 AM, 133.83, 3.00, 327.66, 132.86
12/20/2024 12:27:36 AM, 133.90, 3.00, 312.40, 133.10
12/20/2024 12:28:01 AM, 134.13, 3.00, 334.65, 132.83
12/20/2024 12:29:21 AM, 134.49, 3.00, 339.03, 132.89
12/20/2024 12:29:44 AM, 134.24, 3.00, 311.34, 132.85
12/20/2024 12:30:14 AM, 134.41, 3.00, 335.78, 132.98
12/20/2024 12:30:45 AM, 134.64, 3.00, 325.30, 133.02
12/20/2024 12:31:48 AM, 133.70, 3.00, 298.64, 132.90
12/20/2024 12:32:10 AM, 134.39, 3.00, 333.91, 132.86
12/20/2024 12:33:21 AM, 134.26, 3.00, 355.23, 132.93
12/20/2024 12:33:44 AM, 134.24, 3.00, 326.46, 133.12
12/20/2024 12:41:08 AM, 133.71, 3.00, 318.81, 132.93
12/20/2024 12:41:52 AM, 133.37, 3.00, 312.09, 132.72
12/20/2024 12:42:29 AM, 134.03, 3.00, 325.99, 132.84
12/20/2024 12:43:47 AM, 133.96, 3.00, 328.41, 132.93
12/20/2024 11:33:28 PM, 133.79, 3.00, 318.69, 132.51
12/20/2024 11:36:07 PM, 134.31, 3.00, 289.16, 133.09
12/20/2024 11:42:43 PM, 134.32, 3.00, 258.93, 133.01
12/20/2024 11:48:29 PM, 133.68, 3.00, 261.83, 132.80
12/20/2024 11:56:26 PM, 133.11, 3.00, 280.22, 133.13
12/21/2024 12:10:52 AM, 108.11, 3.00, 195.90, 104.23
12/21/2024 12:21:03 AM, 89.43, 3.00, 184.22, 74.52
12/23/2024 4:35:00 PM, 128.00, 3.00, 345.34, 130.30
12/23/2024 4:46:59 PM, 135.33, 3.00, 299.63, 132.54
12/23/2024 5:07:04 PM, 134.29, 3.00, 308.98, 132.72
12/23/2024 5:16:14 PM, 132.69, 3.00, 317.64, 132.06
12/23/2024 5:22:12 PM, 134.09, 3.00, 326.09, 132.49
12/23/2024 5:26:00 PM, 134.05, 3.00, 304.98, 132.73
12/23/2024 5:27:17 PM, 134.07, 3.00, 319.90, 132.56
12/23/2024 5:28:27 PM, 133.82, 3.00, 279.75, 132.45
12/23/2024 5:30:45 PM, 133.46, 3.00, 249.23, 132.67
12/23/2024 5:31:56 PM, 133.65, 3.00, 277.51, 132.82
12/23/2024 5:33:20 PM, 132.32, 3.00, 196.07, 132.56
12/23/2024 5:34:01 PM, 132.94, 3.00, 175.39, 132.79
12/23/2024 5:39:29 PM, 131.27, 3.00, 165.81, 132.48
